Regional,Nivel,Programa,Genero,Cantidad,Año,Periodo
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,28,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,196,2022,2
Bogotá,COTERMINALES,ARTICULACIÓN ESP. EN PROCEDIMIENTO PENAL CONSTITUCIONAL Y JUSTICIA MILITAR (BOGOTÁ),M,1,2022,2
Bogotá,COTERMINALES,COTERMINALES,F,1,2022,2
Bogotá,COTERMINALES,COTERMINALES,F,2,2022,2
Bogotá,COTERMINALES,COTERMINALES,M,1,2022,2
Bogotá,COTERMINALES,COTERMINALES,M,10,2022,2
Bogotá,COTERMINALES,COTERMINALES,M,2,2022,2
Bogotá,COTERMINALES,COTERMINALES,M,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,2,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,38,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,49,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,218,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,6,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,31,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),F,3,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,9,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,22,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,34,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,168,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,46,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,163,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,4,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,25,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,1,2022,2
Bogotá,CURSOS,CENTRO DE IDIOMAS (DISTANCIA),M,2,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,1,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,1,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,1,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,3,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,3,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,1,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),F,1,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),M,3,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),M,2,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),M,3,2022,2
Bogotá,CURSOS,INGLES FACULTAD (SEMESTRAL),M,2,2022,2
