ID,VIGENCIA,MES,NUCLEO NUMERO,PERSONAS_NUCLEO,EDAD,ETAPA_VIDA,GENERO,LGTBI,GESTANTE,CABEZA_DE_FAMILIA,DISCAPACIDAD,ADULTO_MAYOR,AFRODESCENDIENTE,MESTIZO,INDIGENA,RROM,AMENAZA,DESPLAZAMIENTO,RECLUTAMIENTO_FORZADO,SECUESTRO,HOMICIDIO,TORTURA,DELITOS_CONTRA_LIBERTAD_E_INTEGRIDAD_SEXUAL,MINAS_ANTIPERSONAL,ACTO_TERRORISTA,DESPOJO_Y_ABANDONO_DE_BIENES,VINCULACION_DE_NNA_GRUPOS_ARMADOS,MIGRANTES_VENEZOLANOS,ORIENTACION,ATENCION_PSICOLOGICA,APOYO,ARTICULACION_INTERINSTITUCIONAL,DECLARACION,MES_ORDEN,CURSO_VIDA,CURSO_VIDA_ORDEN,CANTIDAD,FECHA,DPTO_CCDGO,DPTO_CNMBR,MUNICIPIO_PROCEDENCIA,MPIO_CCDGO,ID_GENERADO
1,2017,ENERO,Si,2,47,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,45-49,9,1,2017-01-01,8,ATLANTICO,SABANALARGA,638,8638
2,2017,ENERO,No,0,44,ADULTEZ,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,40-44,8,1,2017-01-01,8,ATLANTICO,SABANALARGA,638,8638
3,2017,ENERO,Si,3,19,JOVENES,FEMENINO,No,Si,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,15-19,3,1,2017-01-01,68,SANTANDER,GIRON,307,68307
4,2017,ENERO,No,0,22,JOVENES,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,20-24,4,1,2017-01-01,68,SANTANDER,GIRON,307,68307
5,2017,ENERO,No,0,1,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,0-4,0,1,2017-01-01,68,SANTANDER,GIRON,307,68307
6,2017,ENERO,Si,4,25,JOVENES,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,25-29,5,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
7,2017,ENERO,No,0,17,ADOLESCENCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,15-19,3,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
8,2017,ENERO,No,0,40,ADULTEZ,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,40-44,8,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
9,2017,ENERO,No,0,16,ADOLESCENCIA,NO DISPONIBLE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,15-19,3,1,2017-01-01,54,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,1,54001
10,2017,ENERO,Si,3,38,ADULTEZ,FEMENINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,DEFENSORIA DEL PUEBLO,1,35-39,7,1,2017-01-01,54,NORTE DE SANTANDER,TIBU,810,54810
11,2017,ENERO,No,0,9,PRIMERA INFANCIA,MASCULINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,5-9,1,1,2017-01-01,54,NORTE DE SANTANDER,TIBU,810,54810
12,2017,ENERO,No,0,2,PRIMERA INFANCIA,FEMENINO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,0-4,0,1,2017-01-01,54,NORTE DE SANTANDER,TIBU,810,54810
13,2017,ENERO,Si,1,21,JOVENES,MASCULINO,No,No,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,No,DEFENSORIA DEL PUEBLO,1,20-24,4,1,2017-01-01,81,ARAUCA,ARAUCA,1,81001
